label	volume	bbox_volume	sphericity	surface_area	convex_volume	num_pixels	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	area_filled	axis_major_length	axis_minor_length	solidity
1	8486.0	33579	0.6660985599635815	3020.514892578125	14040.0	8486	8486.0	33579.0	14040.0	25.306658334365675	0	0.25271747222966734	63.671029518926424	8486.0	73.50673713128047	9.936640370255695	0.6044159544159544
2	356445.0	633420	1.005950166056705	24167.73828125	437875.0	356445	356445.0	633420.0	437875.0	87.96933350718874	1	0.5627308894572322	149.8098795140027	356445.0	124.8583808944635	60.878803769901126	0.8140336854125035
3	29708.0	102816	0.5999387714004321	7732.01708984375	55708.0	29708	29708.0	102816.0	55708.0	38.42597810665584	1	0.2889433551198257	91.10982383914481	29708.0	90.50498551555945	16.18361436211636	0.5332806778200617
4	43605.0	97152	0.7940446843121957	7545.07177734375	56588.0	43605	43605.0	97152.0	56588.0	43.669600895104395	1	0.44883275691699603	78.3517708797957	43605.0	70.16423749368663	23.068087853960108	0.7705697320986782
5	772.0	1596	0.656825932429582	619.6008911132812	1001.0	772	772.0	1596.0	1001.0	11.381676197559203	1	0.48370927318295737	38.3275357934736	772.0	45.93895027381074	4.7456222730833675	0.7712287712287712
6	10731.0	27972	0.7613600415413178	3090.20654296875	15157.0	10731	10731.0	27972.0	15157.0	27.366159730635314	1	0.3836336336336336	49.040799340956916	10731.0	45.3537511839602	18.612019405768713	0.7079897077258033
7	734.0	2340	0.6478312979066458	607.416015625	1075.0	734	734.0	2340.0	1075.0	11.19177951941222	1	0.31367521367521367	26.551836094703507	734.0	23.238265781331332	4.93438098054955	0.6827906976744186
8	426.0	968	0.819708231013829	334.013916015625	532.0	426	426.0	968.0	532.0	9.33548729557024	1	0.44008264462809915	14.798648586948742	426.0	12.69826198436083	6.334210814747055	0.8007518796992481
9	396.0	700	1.1530353168054048	226.17172241210938	469.0	396	396.0	700.0	469.0	9.110988977026786	1	0.5657142857142857	12.449899597988733	396.0	11.178548900349988	7.800421956724046	0.8443496801705757
10	2884.0	9000	0.810129374477374	1209.46484375	3849.0	2884	2884.0	9000.0	3849.0	17.66033257775885	1	0.3204444444444444	33.24154027718932	2884.0	30.79453275703388	12.74626992867298	0.7492855287087555
11	2948.0	12880	0.6274474313816365	1584.619873046875	4646.0	2948	2948.0	12880.0	4646.0	17.79001382671745	1	0.22888198757763975	38.3275357934736	2948.0	36.86729730434419	11.756738164819353	0.6345243219974172
12	254712.0	765900	0.808656144899312	24029.966796875	322126.0	254712	254712.0	765900.0	322126.0	78.64725959271918	0	0.3325656090873482	124.80384609458156	254712.0	100.91261750694296	75.19422930705721	0.7907216430837622
