batch	slice	method	vf_mask	ncc_mask	vf	ncc	vf_z
0	0	UNet	0.24565887451171875	37	0.3143959045410156	84	0.5622344977026006
0	1	UNet	0.2918548583984375	30	0.29058837890625	96	-0.31271700343492564
0	2	UNet	0.2543220520019531	31	0.33205413818359375	78	1.2111930778605253
0	3	UNet	0.16614913940429688	53	0.3283119201660156	72	1.073662646420706
0	4	UNet	0.24811553955078125	30	0.32049560546875	74	0.7864048951259148
0	5	UNet	0.2702369689941406	34	0.282745361328125	110	-0.6009561135677175
0	6	UNet	0.21213150024414062	28	0.28116607666015625	75	-0.6589964791294762
0	7	UNet	0.21408462524414062	32	0.2781982421875	65	-0.7680675042672739
1	8	UNet	0.20196533203125	45	0.3155326843261719	79	0.6040123453774896
1	9	UNet	0.19837188720703125	38	0.24748611450195312	99	-1.8967703620878513
